Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
08/02/2019 01:38:09 pm	0.000	0.000			0.0000		
08/02/2019 01:38:09 pm	0.004	0.000	0.000		0.0000	0.000	
08/02/2019 01:38:09 pm	0.008	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.012	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.016	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.020	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.024	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.028	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.032	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.036	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.040	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.044	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.048	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.052	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.056	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.060	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.064	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.068	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.072	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.076	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.080	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.084	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.088	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.092	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.096	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.100	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.104	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.108	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.112	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.116	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.120	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.124	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.128	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.132	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.136	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.140	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.144	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.148	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.152	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.156	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.160	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.164	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.168	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.172	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.176	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.180	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.184	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.188	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.192	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.196	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.200	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.204	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.208	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.212	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.216	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.220	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.224	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.228	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.232	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.236	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.240	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.244	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.248	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.252	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.256	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.260	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.264	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.268	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.272	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.276	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.280	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.284	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.288	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.292	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.296	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.300	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.304	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.308	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.312	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.316	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.320	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.324	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.328	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.332	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.336	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.340	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.344	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.348	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.352	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.356	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.360	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.364	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.368	0.000	0.000	0.000	0.0000	0.000	0.000
08/02/2019 01:38:09 pm	0.372	0.000	0.000	0.000	0.0000	0.000	0.000
