Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 06:33:49 pm	0.027	0.052	0.000	1454.441	0.0012	0.000	34.722
10/18/2019 06:33:49 pm	0.028	0.052	2.909	1939.254	0.0012	0.069	46.296
10/18/2019 06:33:49 pm	0.029	0.052	5.818	969.627	0.0012	0.139	23.148
10/18/2019 06:33:49 pm	0.030	0.070	5.818	-969.627	0.0017	0.139	-23.148
10/18/2019 06:33:49 pm	0.031	0.070	2.909	-1939.254	0.0017	0.069	-46.296
10/18/2019 06:33:49 pm	0.032	0.070	0.000	-1454.441	0.0017	0.000	-34.722
10/18/2019 06:33:49 pm	0.033	0.070	0.000	-484.814	0.0017	0.000	-11.574
10/18/2019 06:33:49 pm	0.034	0.070	0.000	484.814	0.0017	0.000	11.574
10/18/2019 06:33:49 pm	0.035	0.070	0.000	1454.441	0.0017	0.000	34.722
10/18/2019 06:33:49 pm	0.036	0.070	2.909	1939.254	0.0017	0.069	46.296
10/18/2019 06:33:49 pm	0.037	0.070	5.818	969.627	0.0017	0.139	23.148
10/18/2019 06:33:49 pm	0.038	0.087	5.818	-969.627	0.0021	0.139	-23.148
10/18/2019 06:33:49 pm	0.039	0.087	2.909	-1939.254	0.0021	0.069	-46.296
10/18/2019 06:33:49 pm	0.040	0.087	0.000	-1454.441	0.0021	0.000	-34.722
10/18/2019 06:33:49 pm	0.041	0.087	0.000	-484.814	0.0021	0.000	-11.574
10/18/2019 06:33:49 pm	0.042	0.087	0.000	0.000	0.0021	0.000	0.000
10/18/2019 06:33:49 pm	0.043	0.087	0.000	484.814	0.0021	0.000	11.574
10/18/2019 06:33:49 pm	0.044	0.087	0.000	1454.441	0.0021	0.000	34.722
10/18/2019 06:33:49 pm	0.045	0.087	2.909	1939.254	0.0021	0.069	46.296
10/18/2019 06:33:49 pm	0.046	0.087	5.818	969.627	0.0021	0.139	23.148
10/18/2019 06:33:49 pm	0.047	0.105	5.818	-969.627	0.0025	0.139	-23.148
10/18/2019 06:33:49 pm	0.048	0.105	2.909	-1939.254	0.0025	0.069	-46.296
10/18/2019 06:33:49 pm	0.049	0.105	0.000	-1454.441	0.0025	0.000	-34.722
10/18/2019 06:33:49 pm	0.050	0.105	0.000	-484.814	0.0025	0.000	-11.574
10/18/2019 06:33:49 pm	0.051	0.105	0.000	484.814	0.0025	0.000	11.574
10/18/2019 06:33:49 pm	0.052	0.105	0.000	1454.441	0.0025	0.000	34.722
10/18/2019 06:33:49 pm	0.053	0.105	2.909	1939.254	0.0025	0.069	46.296
10/18/2019 06:33:49 pm	0.054	0.105	5.818	969.627	0.0025	0.139	23.148
10/18/2019 06:33:49 pm	0.055	0.122	5.818	-969.627	0.0029	0.139	-23.148
10/18/2019 06:33:49 pm	0.056	0.122	2.909	-1939.254	0.0029	0.069	-46.296
10/18/2019 06:33:49 pm	0.057	0.122	0.000	-1454.441	0.0029	0.000	-34.722
10/18/2019 06:33:49 pm	0.058	0.122	0.000	-484.814	0.0029	0.000	-11.574
10/18/2019 06:33:49 pm	0.059	0.122	0.000	0.000	0.0029	0.000	0.000
10/18/2019 06:33:49 pm	0.060	0.122	0.000	484.814	0.0029	0.000	11.574
10/18/2019 06:33:49 pm	0.061	0.122	0.000	1454.441	0.0029	0.000	34.722
10/18/2019 06:33:49 pm	0.062	0.122	2.909	1939.254	0.0029	0.069	46.296
10/18/2019 06:33:49 pm	0.063	0.122	5.818	969.627	0.0029	0.139	23.148
10/18/2019 06:33:49 pm	0.064	0.140	5.818	-969.627	0.0033	0.139	-23.148
10/18/2019 06:33:49 pm	0.065	0.140	2.909	-1939.254	0.0033	0.069	-46.296
10/18/2019 06:33:49 pm	0.066	0.140	0.000	-1454.441	0.0033	0.000	-34.722
10/18/2019 06:33:49 pm	0.067	0.140	0.000	-484.814	0.0033	0.000	-11.574
10/18/2019 06:33:49 pm	0.068	0.140	0.000	484.814	0.0033	0.000	11.574
10/18/2019 06:33:49 pm	0.069	0.140	0.000	1454.441	0.0033	0.000	34.722
10/18/2019 06:33:49 pm	0.070	0.140	2.909	1939.254	0.0033	0.069	46.296
10/18/2019 06:33:49 pm	0.071	0.140	5.818	969.627	0.0033	0.139	23.148
10/18/2019 06:33:49 pm	0.072	0.157	5.818	-969.627	0.0037	0.139	-23.148
10/18/2019 06:33:49 pm	0.073	0.157	2.909	-1939.254	0.0037	0.069	-46.296
10/18/2019 06:33:49 pm	0.074	0.157	0.000	-1454.441	0.0037	0.000	-34.722
10/18/2019 06:33:49 pm	0.075	0.157	0.000	-484.814	0.0037	0.000	-11.574
10/18/2019 06:33:49 pm	0.076	0.157	0.000	484.814	0.0037	0.000	11.574
10/18/2019 06:33:49 pm	0.077	0.157	0.000	1454.441	0.0037	0.000	34.722
10/18/2019 06:33:49 pm	0.078	0.157	2.909	1939.254	0.0037	0.069	46.296
10/18/2019 06:33:49 pm	0.079	0.157	5.818	969.627	0.0037	0.139	23.148
10/18/2019 06:33:49 pm	0.080	0.175	5.818	-969.627	0.0042	0.139	-23.148
10/18/2019 06:33:49 pm	0.081	0.175	2.909	-1939.254	0.0042	0.069	-46.296
10/18/2019 06:33:49 pm	0.082	0.175	0.000	-1454.441	0.0042	0.000	-34.722
10/18/2019 06:33:49 pm	0.083	0.175	0.000	-484.814	0.0042	0.000	-11.574
10/18/2019 06:33:49 pm	0.084	0.175	0.000	484.814	0.0042	0.000	11.574
10/18/2019 06:33:49 pm	0.085	0.175	0.000	1454.441	0.0042	0.000	34.722
10/18/2019 06:33:49 pm	0.086	0.175	2.909	1939.254	0.0042	0.069	46.296
10/18/2019 06:33:49 pm	0.087	0.175	5.818	969.627	0.0042	0.139	23.148
10/18/2019 06:33:49 pm	0.088	0.192	5.818	-969.627	0.0046	0.139	-23.148
10/18/2019 06:33:49 pm	0.089	0.192	2.909	-1939.254	0.0046	0.069	-46.296
10/18/2019 06:33:49 pm	0.090	0.192	0.000	-1454.441	0.0046	0.000	-34.722
10/18/2019 06:33:49 pm	0.091	0.192	0.000	-6.384E-12	0.0046	0.000	-4.163E-14
