s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.031	0.000	2.909	1939.254	0.0000	0.069	46.296
10/18/2019 05:47:22 pm	0.032	0.000	5.818	969.627	0.0000	0.139	23.148
10/18/2019 05:47:22 pm	0.033	0.017	5.818	-969.627	4.1667E-4	0.139	-23.148
10/18/2019 05:47:22 pm	0.034	0.017	2.909	-1939.254	4.1667E-4	0.069	-46.296
10/18/2019 05:47:22 pm	0.035	0.017	0.000	-1454.441	4.1667E-4	0.000	-34.722
10/18/2019 05:47:22 pm	0.036	0.017	0.000	-484.814	4.1667E-4	0.000	-11.574
10/18/2019 05:47:22 pm	0.037	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.038	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.039	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.040	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.041	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.042	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.043	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.044	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.045	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.046	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.047	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.048	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.049	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.050	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.051	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.052	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.053	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.054	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.055	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.056	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.057	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.058	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.059	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.060	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.061	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.062	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.063	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.064	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.065	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.066	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.067	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.068	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.069	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.070	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.071	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.072	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.073	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.074	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.075	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.076	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.077	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.078	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.079	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.080	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.081	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.082	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.083	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.084	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.085	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.086	0.017	0.000	0.000	4.1667E-4	0.000	0.000
